match_uid,ha_status,ha_method,csv_home_name,csv_home_id,csv_away_name,csv_away_id,page_home_name,page_home_id,page_away_name,page_away_id,page_set1_tb_home,page_set1_tb_away,page_set2_tb_home,page_set2_tb_away,page_set3_tb_home,page_set3_tb_away,page_set1_home,page_set1_away,page_set2_home,page_set2_away,page_set3_home,page_set3_away,page_time_overall,page_time_set1,page_time_set2,page_time_set3,page_date_time,page_court_type,error
UDmjfbLF,correct,id_match,Wuerth T.,0llvOkD9,Pohankova M.,h84ZLkgi,Wuerth T.,0llvOkD9,Pohankova M.,h84ZLkgi,,,,,,,4,6,3,6,,,1:40,0:44,0:56,,"05:45 AM, November 28, 2024",HARD,
UFO7HUaB,correct,id_match,Moratelli A.,WdYQi1lt,Stresnakova K.,0QGWrJif,Moratelli A.,WdYQi1lt,Stresnakova K.,0QGWrJif,,,,,,,6,1,1,0,,,0:31,0:25,0:06,,"07:15 AM, January 25, 2023",HARD,
UHHuFBhS,correct,id_match,Shimizu E.,bDQZ30yT,Matsuda R.,O6D601Xs,Shimizu E.,bDQZ30yT,Matsuda R.,O6D601Xs,,,,,,,6,4,2,6,3,6,2:30,0:50,0:44,0:56,"09:15 PM, November 25, 2024",HARD,
UJW6Ndie,correct,id_match,Cherubini D.,ltparF2J,Mansouri Y.,E79w1KgA,Cherubini D.,ltparF2J,Mansouri Y.,E79w1KgA,,,,,,,1,6,2,6,,,0:57,0:27,0:30,,"06:00 PM, June 26, 2025",HARD,
ULoWQzXg,correct,id_match,Papadakis L.,SSyPK4Yj,Alves C.,vJWWbpH8,Papadakis L.,SSyPK4Yj,Alves C.,vJWWbpH8,,,,,,,6,2,6,1,,,1:18,0:39,0:39,,"10:10 AM, November 04, 2022",HARD,
UNl6qzom,correct,id_match,Rakotomanga Rajaonah T.,pz7Viwx2,Robbe A.,plF5itH8,Rakotomanga Rajaonah T.,pz7Viwx2,Robbe A.,plF5itH8,,,,,,,3,6,7,5,4,6,2:38,0:39,1:02,0:57,"02:25 PM, May 17, 2023",CLAY,
UPJC2l8M,correct,id_match,Falkner Z.,dlYWNPZ7,Fett J.,fc9W6odL,Falkner Z.,dlYWNPZ7,Fett J.,fc9W6odL,1,7,,,,,6,7,4,6,,,1:50,0:58,0:52,,"06:05 AM, May 13, 2025",CLAY,
UPiHiXpU,correct,id_match,Ferro F.,WfnqI5WD,Jakupovic D.,OhCrR0NO,Ferro F.,WfnqI5WD,Jakupovic D.,OhCrR0NO,,,,,,,6,4,3,6,6,4,2:04,0:42,0:41,0:41,"03:55 AM, April 12, 2023",CLAY,
UTHbWmMN,correct,id_match,Janicijevic S.,IaIL1xKN,Velikova D.,fuXyVm77,Janicijevic S.,IaIL1xKN,Velikova D.,fuXyVm77,,,,,,,6,0,6,0,,,0:44,0:21,0:23,,"03:00 AM, September 17, 2025",CLAY,
UV6dh1TD,correct,id_match,Mrdeza T.,KUATIEM9,Lukas T.,8tfJaXqF,Mrdeza T.,KUATIEM9,Lukas T.,8tfJaXqF,,,,,,,6,3,6,4,,,1:34,0:41,0:53,,"07:35 AM, April 05, 2021",CLAY,
UX35b7SH,correct,id_match,Giavara H.,SEevun8U,Hovde L.,fiwITwU4,Giavara H.,SEevun8U,Hovde L.,fiwITwU4,,,7,5,,,1,6,7,6,0,6,1:52,0:31,0:57,0:24,"09:55 PM, November 08, 2023",HARD,
UXZqd7f9,correct,id_match,Leonard M.,6ukvX7TR,Falei A.,xIMFUBN3,Leonard M.,6ukvX7TR,Falei A.,xIMFUBN3,,,,,,,1,6,6,4,4,6,2:05,0:21,0:41,1:03,"10:25 AM, February 11, 2024",HARD,
UZOjLNvd,correct,id_match,Robbe A.,plF5itH8,Albie A.,UZH1kwVj,Robbe A.,plF5itH8,Albie A.,UZH1kwVj,,,,,,,6,4,3,6,6,3,2:00,0:41,0:33,0:46,"04:05 PM, November 04, 2021",HARD,
UapiBcoH,correct,id_match,Mladenovic K.,KjtjWuVS,Papamichail D.,lEp5rDFG,Mladenovic K.,KjtjWuVS,Papamichail D.,lEp5rDFG,,,,,,,6,2,6,4,,,1:42,0:44,0:58,,"08:10 AM, October 15, 2022",HARD,
